ID,sta_seq,collect_date,chemparameter,value,uom,station_type,duplicate,name,ylat,xlong,sbasn,major,mbasn
92,14129,6/10/2015,Chloride,41,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
93,14129,9/28/2015,pH,6.9,None,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
94,14129,10/20/2011,Total Nitrogen,0.499,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
95,14129,9/28/2015,Organic Nitrogen,NA,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
96,14129,6/10/2015,Total Organic Carbon,2.4,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
97,14129,9/28/2015,Chloride,61.8,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
98,14129,8/25/2011,Organic Nitrogen,0.136,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
99,14129,8/25/2011,Alkalinity,16,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
100,14129,9/28/2015,Alkalinity,20,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
101,14129,8/25/2011,Turbidity,0.5,None,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
102,14129,6/10/2015,Ammonia,0.011,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
103,14129,10/20/2011,Turbidity,0.9,None,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
104,14129,8/25/2011,Nitrite,NA,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
105,14129,6/10/2015,Turbidity,1.1,None,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
106,14129,10/20/2011,Nitrite,NA,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
107,14129,9/28/2015,Total Suspended Solids,11,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
108,14129,9/28/2015,Nitrate,2.08,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
109,14129,9/28/2015,Total Organic Carbon,0.6,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
110,14129,8/25/2011,Total Kjeldahl Nitrogen,0.152,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
111,14129,9/28/2015,Ortho Phosphate,0.014,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
112,14129,6/10/2015,Total Solids,188,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
113,14129,10/20/2011,Magnesium,1470,ppb,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
114,14129,6/10/2015,Ortho Phosphate,0.012,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
115,14129,6/10/2015,Total Phosphorus,0.019,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
116,14129,10/20/2011,Ortho Phosphate,0.007,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
117,14129,9/28/2015,Hardness,59.2,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
118,14129,9/28/2015,Total Nitrogen,1.774,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
119,14129,8/25/2011,Nitrate,0.948,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
120,14129,9/28/2015,Turbidity,1.7,None,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
121,14129,10/20/2011,Total Kjeldahl Nitrogen,0.117,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
122,14129,6/10/2015,Total Suspended Solids,4,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
123,14129,9/28/2015,Total Phosphorus,0.023,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
124,14129,10/20/2011,Hardness,21.5,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
125,14129,9/28/2015,Total Solids,180,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
126,14129,9/28/2015,Silica,11.74,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
127,14133,7/11/2011,Organic Nitrogen,0.1,ppm,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
128,14133,7/11/2011,Nitrate,0.113,ppm,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
129,14133,7/11/2011,Ortho Phosphate,0.007,ppm,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
130,14133,7/11/2011,Total Kjeldahl Nitrogen,0.112,ppm,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
131,14133,7/11/2011,Total Suspended Solids,11,ppm,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
132,14133,7/11/2011,Nitrate/Nitrite,0.113,ppm,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
133,14133,7/11/2011,Total Nitrogen,0.225,ppm,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
134,14133,7/11/2011,Nitrite,NA,ppm,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
135,14133,7/11/2011,Hardness,88.6,ppm,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
136,14133,7/11/2011,Total Phosphorus,0.02,ppm,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
137,14133,7/11/2011,Alkalinity,76,ppm,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
138,14133,7/11/2011,Magnesium,9290,ppb,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
139,14133,7/11/2011,Chloride,26.6,ppm,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
140,14133,7/11/2011,Total Solids,206,ppm,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
141,14133,7/11/2011,Calcium,20200,ppb,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
142,14133,7/11/2011,Turbidity,4.5,None,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
143,14133,7/11/2011,Ammonia,0.012,ppm,River/Stream,0,Blackberry River,42.0007,-73.2184,6100,Housatonic,6
144,14137,10/10/2012,Total Suspended Solids,NA,ppm,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
145,14137,10/10/2012,Ortho Phosphate,0.003,ppm,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
146,14137,10/10/2012,Total Solids,76,ppm,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
147,14137,10/10/2012,Nitrite,0.005,ppm,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
148,14137,10/10/2012,Total Kjeldahl Nitrogen,0.148,ppm,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
149,14137,10/10/2012,Silica,8.82,ppm,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
150,14137,10/10/2012,Total Nitrogen,0.179,ppm,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
151,14137,10/10/2012,Calcium,6540,ppb,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
152,14137,10/10/2012,Nitrate/Nitrite,0.031,ppm,River/Stream,0,Blackledge River,41.6084,-72.4263,4707,Connecticut,4
